facilitycode,facilitycodestd,facilitytype,pkbout,pkbmsgexclusions,ukrdcoutpkb,pvoutpkb,startdate,enddate,firstdataquarter,pkboutstartdate,radar_out,enabled_radar_extracts
RBL20,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RBN01,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RBN63,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RBS25,RR1+,Paediatric Renal Centre,True,,False,True,,,,,False,
RBT20,RR1+,Adult Renal Centre,True,,False,True,2025-04-08 20:01:03.719,,112,,False,
RBZ16,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RBZ19,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RC368,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RC971,RR1+,Adult Renal Centre,True,,False,True,,,93,,False,
RCB23,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RCB55,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RCC25,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RCD35,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RCF31,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RCJAT,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RCSLB,RR1+,Adult Renal Centre,True,,False,True,2024-10-16 08:06:18.733,,112,,False,
RCX01,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RCY03,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RD1,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RD816,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RDA03,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RDDH0,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RDDH1,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RDEE4,RR1+,Adult Renal Centre,True,,False,True,2025-06-27 10:30:31.75,,115,,False,
RDM03,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RDZ00,RR1+,Adult Renal Centre,True,,False,True,,,120,,False,
RDZ15,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RE5BW,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RE7CB,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RE9GA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
REE01,RR1+,Adult Renal Centre,True,,False,True,,,119,,False,
REF01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
REF12,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
REFWW,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
REM26,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
REP17,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RES01,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RES05,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
REZ02,RR1+,Adult Renal Centre,False,,False,False,,,,,False,
RF201,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RF4HA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RF832,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RF8FC,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RFBAK,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
P7U2H,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RFBAT,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RFHFG,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RFJBC,RR1+,Adult Renal Centre,True,,False,True,,,112,,False,
RFPFG,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RFRAA,RR1+,Adult Renal Centre,True,,False,True,,,112,,False,
