source_coding_standard,source_code,destination_coding_standard,destination_code,,,,
RR1+_SATELLITE,9RXV06,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RJN71,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RMP01,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RW3RM,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RM574OCT,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RM574HEX,RR1+_MAIN,RM574,,,,
RR1+_SATELLITE,RTD03,RR1+_MAIN,RTD01,,,,
RR1+_SATELLITE,RF4DG,RR1+_MAIN,RNJ00,,,,
RR1+_SATELLITE,RGCNH,RR1+_MAIN,RNJ00,,,,
RR1+_SATELLITE,RGCKH,RR1+_MAIN,RNJ00,,,,
RR1+_SATELLITE,9RNJ00,RR1+_MAIN,RNJ00,,,,
RR1+_SATELLITE,RWL25,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,98RRK02,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,9RRK02,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,RLW01,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,9RNA2,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,RWP31,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,RLQ02,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,99RRK02,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,9RLQ02,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,97RRK02,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,98RBK,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,9RNG2,RR1+_MAIN,RRK02,,,,
RR1+_SATELLITE,RXQ50,RR1+_MAIN,RNX02,,,,
RR1+_SATELLITE,RVNCA,RR1+_MAIN,RNX02,,,,
RR1+_SATELLITE,RBF33,RR1+_MAIN,RNX02,,,,
RR1+_SATELLITE,RXQ02,RR1+_MAIN,RNX02,,,,
RR1+_SATELLITE,RD816,RR1+_MAIN,RNX02,,,,
RR1+_SATELLITE,RMW10,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,RQR14,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,9RQR13,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,RGA02,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,RXF03,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,RGB04,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,RF8FC,RR1+_MAIN,RQR13,,,,
